127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/js/calendar.js, HTTP/1.1, 304, 0.000306
127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/js/web2py.js, HTTP/1.1, 304, 0.000411
127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/css/web2py.css, HTTP/1.1, 304, 0.000512
127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000267
127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000325
127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000294
127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000315
127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000291
127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000304
127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/images/twitter.png, HTTP/1.1, 304, 0.000466
127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/images/facebook.png, HTTP/1.1, 304, 0.002755
127.0.0.1, 2015-01-30 13:34:02, GET, /psim2web2py/static/images/gplus-32.png, HTTP/1.1, 304, 0.002319
127.0.0.1, 2015-01-30 13:34:06, POST, /, HTTP/1.1, 303, 0.027223
127.0.0.1, 2015-01-30 13:34:07, GET, /results, HTTP/1.1, 200, 0.050270
127.0.0.1, 2015-01-30 13:34:07, POST, /, HTTP/1.1, 500, 0.121855
127.0.0.1, 2015-01-30 13:34:07, POST, /, HTTP/1.1, 500, 0.134694
127.0.0.1, 2015-01-30 13:34:07, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000441
127.0.0.1, 2015-01-30 13:34:11, GET, /results, HTTP/1.1, 200, 0.017903
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/css/calendar.css, HTTP/1.1, 304, 0.003321
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/js/jquery.js, HTTP/1.1, 304, 0.004953
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/js/calendar.js, HTTP/1.1, 304, 0.001109
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000462
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/css/web2py.css, HTTP/1.1, 304, 0.002347
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002609
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000790
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/js/web2py.js, HTTP/1.1, 304, 0.006099
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001379
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000560
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000394
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002928
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/images/twitter.png, HTTP/1.1, 304, 0.003151
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/images/gplus-32.png, HTTP/1.1, 304, 0.002345
127.0.0.1, 2015-01-30 13:34:11, GET, /psim2web2py/static/images/facebook.png, HTTP/1.1, 304, 0.003429
127.0.0.1, 2015-01-30 13:36:14, GET, /, HTTP/1.1, 200, 0.080843
127.0.0.1, 2015-01-30 13:36:14, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000519
127.0.0.1, 2015-01-30 13:36:18, POST, /, HTTP/1.1, 303, 0.033749
127.0.0.1, 2015-01-30 13:36:18, GET, /results, HTTP/1.1, 200, 0.046379
127.0.0.1, 2015-01-30 13:36:18, POST, /, HTTP/1.1, 500, 0.110941
127.0.0.1, 2015-01-30 13:36:18, POST, /, HTTP/1.1, 500, 0.135099
127.0.0.1, 2015-01-30 13:36:18, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000746
127.0.0.1, 2015-01-30 13:36:20, GET, /results, HTTP/1.1, 200, 0.016188
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000612
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/js/jquery.js, HTTP/1.1, 304, 0.000367
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/css/calendar.css, HTTP/1.1, 304, 0.000286
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/js/calendar.js, HTTP/1.1, 304, 0.000271
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/js/web2py.js, HTTP/1.1, 304, 0.000418
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/css/web2py.css, HTTP/1.1, 304, 0.000369
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000341
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000317
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000351
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000556
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000204
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000338
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/images/twitter.png, HTTP/1.1, 304, 0.003821
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/images/facebook.png, HTTP/1.1, 304, 0.003068
127.0.0.1, 2015-01-30 13:36:21, GET, /psim2web2py/static/images/gplus-32.png, HTTP/1.1, 304, 0.003218
127.0.0.1, 2015-01-30 13:36:37, GET, /results, HTTP/1.1, 200, 0.015651
127.0.0.1, 2015-01-30 13:36:37, GET, /psim2web2py/static/js/jquery.js, HTTP/1.1, 304, 0.000612
127.0.0.1, 2015-01-30 13:36:37, GET, /psim2web2py/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.002669
127.0.0.1, 2015-01-30 13:36:37, GET, /psim2web2py/static/css/calendar.css, HTTP/1.1, 304, 0.000557
127.0.0.1, 2015-01-30 13:36:37, GET, /psim2web2py/static/js/calendar.js, HTTP/1.1, 304, 0.000482
127.0.0.1, 2015-01-30 13:36:37, GET, /psim2web2py/static/css/web2py.css, HTTP/1.1, 304, 0.002693
127.0.0.1, 2015-01-30 13:36:37, GET, /psim2web2py/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005007
127.0.0.1, 2015-01-30 13:36:37, GET, /psim2web2py/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001930
127.0.0.1, 2015-01-30 13:36:37, GET, /psim2web2py/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002716
127.0.0.1, 2015-01-30 13:36:37, GET, /psim2web2py/static/js/web2py.js, HTTP/1.1, 304, 0.008275
127.0.0.1, 2015-01-30 13:36:37, GET, /psim2web2py/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000522
127.0.0.1, 2015-01-30 13:36:37, GET, /psim2web2py/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001003
127.0.0.1, 2015-01-30 13:36:37, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000280
127.0.0.1, 2015-01-30 13:36:38, GET, /psim2web2py/static/images/twitter.png, HTTP/1.1, 304, 0.002293
127.0.0.1, 2015-01-30 13:36:38, GET, /psim2web2py/static/images/gplus-32.png, HTTP/1.1, 304, 0.002690
127.0.0.1, 2015-01-30 13:36:38, GET, /psim2web2py/static/images/facebook.png, HTTP/1.1, 304, 0.001724
127.0.0.1, 2015-01-30 13:36:39, GET, /results, HTTP/1.1, 200, 0.020436
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001086
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/js/jquery.js, HTTP/1.1, 304, 0.001801
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/css/calendar.css, HTTP/1.1, 304, 0.000965
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/js/web2py.js, HTTP/1.1, 304, 0.000579
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/js/calendar.js, HTTP/1.1, 304, 0.001742
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/css/web2py.css, HTTP/1.1, 304, 0.000866
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000343
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000264
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002122
127.0.0.1, 2015-01-30 13:36:39, GET, /psim2web2py/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000290
